,longitude,latitude,coordinate,true class,feature1,feature2,feature3,true w,true b,true target,noisy target
0,7.133422003851997,3.0152415678458064,POINT (7.133422003851997 3.015241567845806),1,0.3154394314412783,0.9860765848151841,0.960411742880017,"[2, 5, -3]",2,1.6191374361322053,1.7835429081400356
510,3.495986713415955,9.438945509485254,POINT (3.495986713415955 9.438945509485254),1,0.27445823991137297,0.03269082833688197,0.24634366865136437,"[2, 5, -3]",2,2.7298784918003465,2.6173820592016503
512,4.058060562178664,8.146793398089986,POINT (4.058060562178664 8.146793398089986),1,0.8284035287831456,0.31731939809356857,0.584682974339551,"[2, 5, -3]",2,3.606851235718705,3.505451279451835
516,6.690365270297108,1.1490316911542364,POINT (6.690365270297108 1.149031691154236),1,0.280951272926248,0.7779805036541515,0.6050316435576325,"[2, 5, -3]",2,1.6109731821018256,1.6452786121979723
517,4.2805448986051235,6.4808793977043795,POINT (4.280544898605124 6.480879397704379),1,0.8689863439590908,0.06761920325677251,0.2480707906203118,"[2, 5, -3]",2,3.8508050720249485,4.069896444404963
522,2.8473899314450657,7.835180012202585,POINT (2.847389931445066 7.835180012202585),1,0.8936385659076845,0.4097375085293664,0.8945331106813944,"[2, 5, -3]",2,3.8623352254380308,3.990834520565364
523,2.5437112485024285,3.0287911472954896,POINT (2.543711248502428 3.02879114729549),1,0.37393712062255013,0.002848270471442871,0.9060904189131622,"[2, 5, -3]",2,3.648268119215377,3.605229319446889
504,7.310146379058366,7.4877704353888745,POINT (7.310146379058366 7.487770435388875),1,0.9479285101194141,0.7387659037678227,0.04030300587766911,"[2, 5, -3]",2,2.458628218580852,2.408574710101553
524,1.4535722633107784,9.25231674496857,POINT (1.453572263310778 9.252316744968571),1,0.5007367817033952,0.6328767463139872,0.6513606150082,"[2, 5, -3]",2,2.387080685787016,2.3274373166173934
532,7.285412857164779,0.1894718882587998,POINT (7.285412857164779 0.1894718882587998),1,0.9884284211355627,0.19196433044452288,0.6692146856465299,"[2, 5, -3]",2,4.26214286702861,4.387818344915826
536,6.798931088747615,1.165707236767043,POINT (6.798931088747615 1.165707236767043),1,0.4623573062331281,0.446366547898281,0.7521983997911521,"[2, 5, -3]",2,2.7841799164608463,2.7587742310355523
537,0.2574361180471585,8.857291205982614,POINT (0.2574361180471585 8.857291205982614),1,0.2677857906202066,0.4561158308565634,0.9565091943610928,"[2, 5, -3]",2,2.579849113888379,2.469210540796478
538,1.2075758326629016,8.86251751720744,POINT (1.207575832662902 8.86251751720744),1,0.32133338996358285,0.023877386321781158,0.34924336017043967,"[2, 5, -3]",2,2.944155367454043,2.949005083029367
539,9.114301507702198,7.297020043777166,POINT (9.114301507702198 7.297020043777166),1,0.11967068541916859,0.2712616417174992,0.38329733384738873,"[2, 5, -3]",2,2.0801154212507273,2.053828309727173
541,3.501835689046231,3.0124565993599806,POINT (3.501835689046231 3.012456599359981),1,0.9520627993805858,0.8379737492257454,0.6255235196991494,"[2, 5, -3]",2,2.85370162000883,2.884887038538142
525,4.371275928115857,5.807327973524838,POINT (4.371275928115857 5.807327973524838),1,0.8863979443070121,0.1394716988846082,0.6955893526184553,"[2, 5, -3]",2,4.189441843463263,4.198758465018544
502,2.88948478880126,7.350350584787671,POINT (2.88948478880126 7.350350584787671),1,0.602625092530893,0.8370284096973597,0.5972205836640122,"[2, 5, -3]",2,2.1284139493310787,2.156984493462108
500,1.0441362919981945,9.991284341044386,POINT (1.044136291998194 9.991284341044386),1,0.4770563450389834,0.06976627865430829,0.48198038493565876,"[2, 5, -3]",2,3.296560517705009,3.265107198244572
998,5.420291302155471,0.6244193856094304,POINT (5.420291302155471 0.6244193856094304),1,0.8433972565025146,0.6868695763983675,0.5926382794820002,"[2, 5, -3]",2,2.9056936396902944,2.9772020151963727
464,5.313079956929855,8.65632939028854,POINT (5.313079956929855 8.656329390288541),1,0.11532179915621754,0.004008435268498478,0.8291168687066491,"[2, 5, -3]",2,3.0517435964820874,2.998652916351595
468,4.499283261007436,8.869595734760619,POINT (4.499283261007436 8.869595734760619),1,0.8268545224069057,0.9324263166882117,0.4386511550624911,"[2, 5, -3]",2,2.227507566499879,2.3119091661628564
469,3.693003788087126,2.5285292302370346,POINT (3.693003788087126 2.528529230237035),1,0.1191834838700766,0.20621488565694035,0.19163603960388242,"[2, 5, -3]",2,2.017573236030155,2.0479141360361575
470,2.039798368189322,4.595604453173603,POINT (2.039798368189322 4.595604453173603),1,0.23883658858057422,0.4377468669484409,0.4388089944593867,"[2, 5, -3]",2,2.0409884377236533,2.0167721239599063
473,7.7471526823398555,2.2028465493074902,POINT (7.747152682339856 2.20284654930749),1,0.39467333387898307,0.9664706950703864,0.8807417290920925,"[2, 5, -3]",2,1.7371470067092858,1.8145676508366495
477,0.06660180388192827,4.758775609250407,POINT (0.06660180388192827 4.758775609250407),1,0.12383669081826243,0.3499256010149526,0.9170016782295396,"[2, 5, -3]",2,2.4648238578361594,2.4003815001193125
481,2.9654473888318513,9.275152180102944,POINT (2.965447388831851 9.275152180102944),1,0.059891548734571365,0.35883232072946036,0.12252005574382108,"[2, 5, -3]",2,1.524638511754043,1.4833625518483469
484,8.356029619258013,0.6640509572825137,POINT (8.356029619258013 0.6640509572825137),1,0.9673223132509743,0.4952524164863159,0.44927269996108943,"[2, 5, -3]",2,3.3934124934904064,3.4273292153805226
488,4.3369510928388175,6.516215969525873,POINT (4.336951092838818 6.516215969525873),1,0.3592365357359426,0.0678671484079183,0.5041578728269224,"[2, 5, -3]",2,3.086896647482971,3.127672768274407
490,9.064247960544199,5.924170783452869,POINT (9.064247960544199 5.924170783452869),1,0.37253035033703863,0.31701237489440215,0.38622041466194235,"[2, 5, -3]",2,2.4972563655472153,2.575926777611871
491,7.366022296944794,3.197510750869892,POINT (7.366022296944794 3.197510750869892),1,0.8889698375760672,0.7631789195751053,0.21220995461617287,"[2, 5, -3]",2,2.463791790618097,2.3963432280675576
492,3.3976879711074814,7.24858945315352,POINT (3.397687971107481 7.24858945315352),1,0.29182019222137556,0.3163231771255216,0.4997161492377884,"[2, 5, -3]",2,2.450710179429496,2.3016680375129073
493,7.7660612562437725,0.10385547999924527,POINT (7.766061256243773 0.1038554799992453),1,0.6312847836556181,0.24671009592163273,0.6775362990938019,"[2, 5, -3]",2,3.4466856745617727,3.54365119804018
495,7.6661903295074065,7.19658039190798,POINT (7.666190329507407 7.19658039190798),1,0.3397938170690459,0.994194672077599,0.32302157995794034,"[2, 5, -3]",2,1.014219869940834,0.9045724921634111
496,7.407214835735093,9.968390323242268,POINT (7.407214835735093 9.968390323242268),1,0.3946053447057254,0.22197264489512702,0.4387633043514475,"[2, 5, -3]",2,2.7840287039726443,2.8800579917510474
542,7.392723121724342,1.182701005381066,POINT (7.392723121724342 1.182701005381066),1,0.25569337690824556,0.36760115727342935,0.3344641192955701,"[2, 5, -3]",2,2.1106485585652024,2.207371768492382
