,longitude,latitude,coordinate,true class,feature1,feature2,true target,noisy target
0,7.128472154914084,7.921312283649825,POINT (7.128472154914084 7.921312283649825),1,0.9465493980281535,0.41158618866987773,1.1813079640377868,1.1781978996892948
521,5.621141081405892,8.463128479459748,POINT (5.621141081405892 8.463128479459748),1,0.6863700567956921,0.1642443383766773,0.17910307192572406,0.18891653123111563
525,6.9848186733155195,2.632478256881136,POINT (6.98481867331552 2.632478256881136),1,0.8403794733599437,0.01347658344198377,-0.11919077631410502,-0.2384668206103407
527,8.761971897829937,7.018799201010113,POINT (8.761971897829937 7.018799201010113),1,0.15945695462795928,0.4397761096360312,0.4787852835360531,0.3858291877143538
528,7.9105454336502445,1.7849416446545363,POINT (7.910545433650245 1.784941644654536),1,0.7670176960020212,0.12374199863493918,0.1382436919068386,0.1664719573253899
530,4.962783360464435,8.254405315407865,POINT (4.962783360464435 8.254405315407865),1,0.17762233132718763,0.11185199859004158,-0.48682167290268763,-0.47148942717330194
532,3.9405553463295586,5.749597794696054,POINT (3.940555346329559 5.749597794696054),1,0.15090940130603336,0.736796015111765,1.361297446641328,1.463355426410174
533,7.516912312064072,7.384137035926887,POINT (7.516912312064072 7.384137035926887),1,0.9139378599503415,0.740226483671562,2.134617310965027,2.111653564956459
537,3.804638649667942,7.216671146419879,POINT (3.804638649667942 7.216671146419879),1,0.9906342023110364,0.9400458168487645,2.81077165285733,2.65073813310403
538,8.536376309811942,7.29990138748052,POINT (8.536376309811942 7.29990138748052),1,0.17423820547872992,0.5156289169883531,0.7211249564437892,0.8511129933748262
540,0.8633445891208025,9.232406855435146,POINT (0.8633445891208025 9.232406855435146),1,0.799543778873051,0.16290729400601378,0.2882656608910923,0.37456522649277524
541,6.461757977248648,2.3718548162582396,POINT (6.461757977248648 2.37185481625824),1,0.07435804728984863,0.8367564067959495,1.5846272676776971,1.4863942817272324
545,7.881566271817232,1.127040604511148,POINT (7.881566271817232 1.127040604511148),1,0.24188909558452232,0.9058533573720826,1.95944916770077,2.009726635159925
548,9.962632220910097,5.681660436885005,POINT (9.962632220910097 5.681660436885005),1,0.4485571649626954,0.7850711539527873,1.8037706268210574,1.8143313653544442
549,7.5561166706500185,9.889463791168243,POINT (7.556116670650018 9.889463791168243),1,0.24282547698250267,0.9739217441109073,2.1645907093152243,2.3411302291415317
550,8.824008906618259,8.221637196454644,POINT (8.824008906618259 8.221637196454644),1,0.3930033535116324,0.44735891847831055,0.735080108946564,0.7074112192059355
518,3.2602862767369722,9.020021704160893,POINT (3.260286276736972 9.020021704160893),1,0.2861939165670715,0.38383267228619333,0.4376919334256515,0.3421015012922349
517,2.591185097184735,7.121892642933737,POINT (2.591185097184735 7.121892642933737),1,0.5047659502415832,0.5945011417269607,1.2882693754224652,1.1340718697880106
515,7.799955522292853,9.295894076022227,POINT (7.799955522292853 9.295894076022227),1,0.5832594960547227,0.8064520969791421,2.002615786992149,1.9186419721754917
514,3.063001831618056,9.77200188257282,POINT (3.063001831618056 9.77200188257282),1,0.019747550644278578,0.7191533335672643,1.1772075513460711,1.159031043078971
482,9.25615650383444,6.271887679554133,POINT (9.25615650383444 6.271887679554133),1,0.5164637510330353,0.13522754230553202,-0.07785362205036861,-0.11020394009082399
484,8.380638234318237,7.899831548337946,POINT (8.380638234318237 7.899831548337946),1,0.8695466774227739,0.8408632234853917,2.392136347878949,2.2092270778576513
488,3.3997945488613066,7.812320854405045,POINT (3.399794548861307 7.812320854405045),1,0.5491561125445745,0.02550579853557655,-0.3743264918486958,-0.3868700309606768
489,2.4299274094706313,9.467301441015895,POINT (2.429927409470631 9.467301441015895),1,0.8956478320234038,0.7715815263360246,2.2103924110314774,1.8181690415902865
491,0.6746775893046986,5.483534076686455,POINT (0.6746775893046986 5.483534076686455),1,0.844188463513879,0.6934415432964411,1.9245130934032026,1.9185052487611804
493,7.873216935794391,1.7276753207786288,POINT (7.873216935794391 1.727675320778629),1,0.68774456057362,0.7652717164409237,1.983559709896391,2.168762996057746
496,8.335808851059317,2.7298176567387733,POINT (8.335808851059317 2.729817656738773),1,0.7238344972937405,0.6202230344131165,1.5845036005330901,1.4122475306387523
551,7.337832883319544,8.121857428319542,POINT (7.337832883319544 8.121857428319542),1,0.5050434807156681,0.8263187917475237,1.9839998559582392,2.1544563794105294
497,5.860897789082289,7.9957168399079634,POINT (5.860897789082289 7.995716839907963),1,0.3508308773857468,0.06266277033901402,-0.46118081159721114,-0.4294444926463461
501,7.156268073103988,0.3319068387477908,POINT (7.156268073103988 0.3319068387477908),1,0.3467490347660731,0.5302318308180534,0.9374445272202332,1.012812760354661
503,7.438848957957922,2.5633710087138226,POINT (7.438848957957922 2.563371008713823),1,0.599988842658917,0.7058696111827748,1.7175976762072414,1.5077399329246313
504,3.6782577380888517,3.719235708812292,POINT (3.678257738088852 3.719235708812292),1,0.8341914889712498,0.3321394669641812,0.8306098898637932,0.8040561218812353
505,3.8788188987550667,7.1040345440382175,POINT (3.878818898755067 7.104034544038218),1,0.7819891478035267,0.6159838616289789,1.6299407326904634,1.6758084677599763
507,1.1293964531285583,9.482163667268598,POINT (1.129396453128558 9.482163667268598),1,0.6606051388132782,0.5616395228099793,1.345523707243216,1.391462858707917
509,1.3819240638954478,8.611609892731376,POINT (1.381924063895448 8.611609892731376),1,0.5630464158526776,0.9483463999550644,2.4080856157178707,2.4989229189875775
510,3.267212329401976,9.941256874134424,POINT (3.267212329401976 9.941256874134424),1,0.9849864328180851,0.9967666245929814,2.975286306597029,2.9341431176929254
998,1.841679396876258,9.951206559021937,POINT (1.841679396876258 9.951206559021937),1,0.2121887784397828,0.2848986444912822,0.06688471191362932,0.07662220356656392
480,2.319987990163833,9.429643426044803,POINT (2.319987990163833 9.429643426044803),1,0.8493057232923058,0.5778773224596759,1.5829376906713337,1.4675468488751675
553,6.844784141384807,7.483531390740606,POINT (6.844784141384807 7.483531390740606),1,0.5795359563931537,0.6896330658474658,1.6484351539355506,1.649204732973258
556,3.0595827431497447,7.023194433143867,POINT (3.059582743149745 7.023194433143867),1,0.6677506960020629,0.6782471349478983,1.7024921008457579,1.691098744181186
604,4.040951286242583,7.374158690987807,POINT (4.040951286242583 7.374158690987807),1,0.4256077193629907,0.8400217376062034,1.9456729321816009,1.9679401832408767
